galaxy,points,aM_HRC0_si,aM_HRC0_over_match,chi2_HRC0,chi2red_HRC0,success_HRC0,aM_HRC0_freeML_si,aM_HRC0_freeML_over_match,ups_disk_HRC0_freeML,chi2_HRC0_freeML,chi2red_HRC0_freeML,success_HRC0_freeML,aM_HRC3_si,aM_HRC3_over_match,chi2_HRC3,chi2red_HRC3,success_HRC3,aM_HRC3_freeML_si,aM_HRC3_freeML_over_match,ups_disk_HRC3_freeML,chi2_HRC3_freeML,chi2red_HRC3_freeML,success_HRC3_freeML,Vflat_obs_km_s,Mbar_eff_Msun
NGC4051,7,9.388728487071533e-11,0.8673980680324275,9.79518299773822,1.6325304996230365,True,3.398275303468046e-11,0.313957042950968,0.6674505285330141,7.611364471240303,1.5222728942480606,True,4.6751957875964325e-11,0.4319281145917317,9.916562298779892,1.652760383129982,True,1.6910231514650064e-11,0.15622884574824514,0.670076127234055,7.6237532754012225,1.5247506550802445,True,157.78431678990398,43077153872.89552
NGC4068,6,3.6229292369646206e-11,0.33471218441225814,6.432081504084942,1.2864163008169884,True,7.817243966548621e-11,0.722213058270833,0.1,1.6020579644262696,0.4005144911065674,True,1.960589773903365e-11,0.1811333435011662,5.792983657254048,1.1585967314508097,True,7.001656056979173e-11,0.646863198271654,0.1,1.4088906928070086,0.35222267320175216,True,33.85166342707549,245914450.16174892
NGC4085,7,1.088373012189382e-10,1.005517040323067,29.906207947753945,4.984367991292324,True,6.806653115884689e-10,6.2884742812781464,0.1,16.591408179592275,3.318281635918455,True,5.419289462608566e-11,0.5006728244882248,29.439479730597128,4.906579955099521,True,6.50880677262934e-10,6.013302469604214,0.10000000000407813,17.16046865950548,3.432093731901096,True,132.35802767268657,14660033975.502672
NGC4088,12,5.831902882971497e-11,0.5387930112802802,16.18317914799135,1.47119810436285,True,8.657179940027788e-11,0.7998123670238774,0.3990454885741994,5.311076489714375,0.5311076489714375,True,2.894941086152205e-11,0.26745541834061004,15.596152605425951,1.417832055038723,True,4.110594373465805e-11,0.37976618696759634,0.4119965388831228,6.787988668873885,0.6787988668873884,True,168.77767977716795,71624622061.7798
NGC4100,24,2.1504021997267444e-10,1.9866957662096132,105.74562168443698,4.597635725410304,True,9.056396293427303e-11,0.8366948366940274,0.8996771344320422,38.864425506228926,1.7665647957376784,True,1.411708132262504e-10,1.3042372119252796,32.08148394609218,1.3948471280909642,True,9.430414499508385e-11,0.8712493208087211,0.6275107371218548,26.216953486021378,1.1916797039100626,True,164.73064759165692,38366901663.96286
NGC4138,7,2.165426178298273e-10,2.0005759950446995,15.353200876536993,2.5588668127561656,True,8.93624621485403e-11,0.8255945107902684,0.8733620948641834,8.230670891497235,1.646134178299447,True,1.3996806817478934e-10,1.2931253906024087,4.743033511175386,0.7905055851958976,True,1.5255351397791586e-10,1.4093987644675825,0.46558240272994117,4.665381153297496,0.9330762306594991,True,146.08255307106435,26557976125.688786
NGC4157,17,1.0828438303268172e-10,1.0004087855982735,7.147294580823625,0.4467059113014766,True,1.0858930882346838e-10,1.0032259087282673,0.4989578822086082,7.146544785135197,0.4764363190090132,True,5.71767638531329e-11,0.5282399482618667,15.80851729297841,0.9880323308111506,True,1.7398218249115504e-10,1.6073721715640377,0.25447007714570746,10.119729862412651,0.6746486574941767,True,185.26476181298187,69309300030.27672
NGC4183,23,1.1344800037123142e-10,1.0481139856121446,51.95537420831172,2.3616079185596237,True,3.473477579376216e-11,0.3209047685055212,1.5742384141645545,6.151478692559066,0.29292755678852694,True,9.279477994457033e-11,0.857304724044911,30.53292516786468,1.3878602349029399,True,1.6480098602040855e-11,0.1522549694357269,1.6189390060176188,6.751940923723949,0.3215209963678071,True,110.20887705713793,12075156163.59099
NGC4214,14,3.709691092285989e-10,3.427278668114557,11.008707025217994,0.8468236173244611,True,2.373038417895261e-10,2.192383070703869,0.8033335417238723,10.61555974126044,0.8846299784383701,True,3.3662189074615575e-10,3.109954431984137,11.118187555302828,0.855245196561756,True,4.0444922033971633e-10,3.73659194451065,0.41519968656514233,10.760985536732106,0.8967487947276754,True,80.38740024027582,809400440.9141262
NGC4217,19,8.761314773402993e-11,0.8094330897243913,577.1210492054129,32.06228051141183,True,1.111962838146135e-10,1.027311013264435,0.1,533.9267773879285,31.40745749340756,True,4.4085947754806974e-11,0.40729760118801434,573.5976125914467,31.86653403285815,True,5.578667506236719e-11,0.5153973111234719,0.1,530.1569393396691,31.18570231409818,True,179.29637630479826,60922677283.243034
NGC4389,6,1.0824021557172451e-12,0.010000007349196654,83.85249914746161,16.770499829492323,True,1.7286580554712775e-10,1.597058280755728,0.1,16.73777879288879,4.1844446982221974,True,1.0824021584450144e-12,0.010000007374397742,83.88023481158594,16.77604696231719,True,4.633695522243854e-11,0.42809402246315126,0.1694703096799442,20.56732308697187,5.141830771742968,True,95.02404740996182,12557468544.784502
NGC4559,32,8.864104637586734e-11,0.818929554525676,16.584967712559354,0.5349989584696566,True,7.781766328832157e-11,0.7189353796739932,0.5766224142660313,14.364372792931611,0.4788124264310537,True,5.632650072163155e-11,0.5203846076947276,23.25044051891159,0.7500142102874706,True,8.787571165303439e-11,0.8118588435034372,0.36871045799928975,20.183598615048886,0.6727866205016295,True,121.41257625700283,21784339359.466312
NGC5005,18,2.558812960973269e-10,2.364014916248625,7.064934680308093,0.41558439295929955,True,4.1263623776859917e-10,3.8122294827623904,0.36670870292636654,5.014081404085759,0.3133800877553599,True,1.2814538960464203e-10,1.183899007446953,6.921420789362778,0.4071423993742811,True,3.106542287869139e-10,2.8700465483364,0.2678037545184775,4.276833090741349,0.26730206817133434,True,264.59601038980327,106827779326.2736
NGC5033,22,1.9232722978797253e-10,1.7768568744727942,429.0944237401733,20.433067797151107,True,1.1370583577138267e-10,1.050496053943011,0.9249127920244291,303.7796386726688,15.188981933633439,True,1.4428512117188624e-10,1.333009422124162,142.5523145761242,6.7882054560059135,True,9.137797712156803e-11,0.8442152835189937,0.7253573869093429,86.44034230864415,4.322017115432208,True,193.94311833417976,82140909534.67827
NGC5055,28,8.67479386798173e-11,0.8014396680049154,145.43483050358344,5.386475203836424,True,9.044062165818357e-11,0.8355553215324593,0.48719207708046414,137.70850583722842,5.2964809937395545,True,5.5359510609368885e-11,0.5114508595696424,105.54501609443214,3.9090746701641534,True,7.174916017721352e-11,0.6628701959627775,0.43948358440611185,12.330108261135262,0.474234933120587,True,178.1822061737461,97659655805.48874
NGC5371,19,6.87459400232249e-11,0.6351242944487131,519.5058048421571,28.86143360234206,True,3.1849441238305105e-11,0.29424797869125646,0.6666605239511196,142.34922256330628,8.373483680194488,True,3.533756063766801e-11,0.3264737271750912,527.2123917314451,29.289577318413617,True,1.591306897964388e-11,0.14701634314398176,0.6681141675105687,138.63932520284177,8.155254423696576,True,208.08510638297872,207044940777.68423
NGC5585,24,1.1440403273389978e-10,1.056946498188229,138.5965148543495,6.025935428449978,True,1.8394502792495967e-10,1.6994160824438516,0.23670379920581253,75.8863627893507,3.449380126788668,True,9.351429018166913e-11,0.8639520756053322,269.45883923598615,11.71560170591244,True,1.8518485547230161e-10,1.7108704984570386,0.21044539049237218,78.77127919722714,3.5805126907830522,True,90.92971647284567,3833627489.6915107
NGC5907,19,1.3861666202426085e-10,1.2806401314354223,657.8709568016548,36.54838648898082,True,5.969679218762762e-11,0.5515217772309084,0.9675880343510593,83.89980866486411,4.935282862639065,True,9.95135333843277e-11,0.9193773866131896,217.35340608241512,12.07518922680084,True,2.9274076185997416e-11,0.27045490943884387,0.9794236620632853,92.2343723825129,5.425551316618406,True,216.17907444668006,133523013597.01375
NGC5985,33,4.876779811436522e-10,4.505518923552353,1186.9815829713561,37.09317446785488,True,4.671877129348348e-11,0.43162151314332337,1.869507380962457,597.2280535771625,19.265421083134274,True,4.061711923163955e-10,3.7525007565274664,847.3462450129414,26.479570156654418,True,2.4083632511536018e-11,0.22250186849556233,1.8690325649565183,595.5423142225175,19.211042394274756,True,291.992127704694,132890142361.548
NGC6015,44,2.3083292288488082e-10,2.132600081303197,1179.833370574443,27.43798536219635,True,8.194365938900036e-11,0.7570542905719525,1.03038167741261,305.8435285763939,7.2819887756284265,True,1.6501262908195625e-10,1.5245050047377078,490.58486494239196,11.408950347497488,True,4.0975796476203194e-11,0.37856379326008943,1.0508270071567785,395.4978810665527,9.416616215870302,True,154.82982064779412,28455115300.950993
