galaxy,n_points,gdagger_si,ups_disk,chi2,chi2_red,sigma_lo_si,sigma_hi_si,ratio_cH0,ratio_cH0_2pi,ratio_a0
NGC0100,21,4.0585680589439045e-10,0.1,8.684833584279895,0.4570965044357839,2.3862364187038413e-11,2.535299431780639e-11,0.5967667744920931,3.7495962293016727,3.3821400491199203
UGC06930,10,2.918403876339408e-11,1.1848254129901352,3.7666176342164674,0.47082720427705843,3.1061028901036357e-12,3.4760660348397434e-12,0.04291184581986485,0.26962307915933054,0.243200323028284
NGC3521,41,1.5126141463953725e-10,0.47853505678688146,19.537695194912057,0.5009665434592835,8.893419824810195e-12,9.448972470495865e-12,0.2224128934357125,1.3974614241625678,1.2605117886628106
NGC0055,21,7.677713417617232e-11,0.1,9.85740177228513,0.5188106195939541,3.2521558938996163e-12,3.3960052115778825e-12,0.11289213843806649,0.7093222255301431,0.6398094514681028
NGC4559,32,6.71579938750641e-11,0.43742976310024134,15.909105515030573,0.5303035171676858,1.7215757119603175e-12,1.7668688837936152e-12,0.09874827477110365,0.6204537091511311,0.5596499489588674
UGC05750,11,1.662839216399086e-11,1.2871747411253553,4.783527021083548,0.5315030023426164,3.691567205770401e-12,4.017574451995043e-12,0.024450179995938258,0.1536250117083755,0.13856993469992385
UGC11820,10,4.7482859497599586e-11,1.1083897540032044,4.3754733415796485,0.5469341676974561,2.0112975436147884e-12,2.1002612307001235e-12,0.0698182031063863,0.43868070793172653,0.3956904958133299
NGC3953,8,1.2341260388617722e-11,0.7895576610862823,3.5209732777511746,0.5868288796251958,3.535984371593492e-12,3.798640704143129e-12,0.01814643501924881,0.11401741389063323,0.10284383657181435
NGC5005,18,2.0456432275843533e-10,0.3336198549111149,10.286312655137346,0.6428945409460841,2.799302134184811e-11,2.8363233245765976e-11,0.30078882328876627,1.889911915051813,1.7047026896536277
NGC4088,12,7.193912815869663e-11,0.30399252804121873,6.430378740413203,0.6430378740413203,4.22966339479728e-12,4.493881292482211e-12,0.10577839486128983,0.6646252564094969,0.5994927346558052
NGC0024,29,1.0774668882934592e-10,1.2617563354735857,17.917935488369096,0.6636272403099666,6.334970096478798e-12,6.730701937184425e-12,0.15842938450470054,0.9954411809454397,0.8978890735778826
NGC3893,10,1.8845648061417648e-10,0.40041359509436586,5.34412220483207,0.6680152756040088,1.1080304946255404e-11,1.1772467561892453e-11,0.2771040535353708,1.7410961177333473,1.570470671784804
NGC4157,17,1.0314614784486544e-10,0.35656989109760395,10.062411694259271,0.6708274462839514,4.369104893613303e-12,4.562359085083636e-12,0.1516648065443115,0.9529380840954523,0.8595512320405454
KK98-251,15,2.7429589214136036e-11,0.1,9.036439798604103,0.6951107537387772,2.491342322268331e-12,2.7402285648995e-12,0.04033212513189326,0.25341421603604025,0.2285799101178003
DDO161,31,3.9749312585717533e-11,0.1,21.226700403652327,0.7319551863328388,1.0189621095888509e-12,1.0457701236660476e-12,0.058446892390487996,0.36723265551822054,0.33124427154764613
NGC7793,46,7.591813594955719e-11,0.5705828107627481,33.75907805761152,0.7672517740366254,5.690030969568342e-12,4.742441278287748e-12,0.11162907818246261,0.7013861838900504,0.6326511329129766
NGC0300,25,1.8721207994876214e-10,0.38805724447227025,18.122740326404184,0.7879452315827906,4.799127419216264e-12,4.925388321561658e-12,0.2752743023509879,1.729599451975838,1.5601006662396846
UGC01230,11,1.519139901310446e-11,2.5,7.146224576934268,0.7940249529926964,3.3725491829566092e-12,3.999774425054187e-12,0.022337243228173785,0.14034903845415825,0.12659499177587052
NGC2976,27,3.422853640820288e-13,0.9273679641892546,20.23684230176467,0.8094736920705868,3.3146135047963683e-13,1.6076823785802603e-12,0.0005032921210448705,0.0031622776601683803,0.002852378034016907
NGC3769,12,1.1212292744825909e-10,0.33620990878353413,8.326480998178646,0.8326480998178646,6.592271189320652e-12,7.004076071182539e-12,0.1648641510703649,1.0358720116859523,0.9343577287354924
UGC08699,41,1.3120513684959159e-10,0.6048274803768688,32.75925815971013,0.8399809784541059,1.1308540228764186e-12,1.1406855652327106e-12,0.19292239326127966,1.2121671467651942,1.0933761404132631
UGC07603,12,3.4763086038741415e-10,0.19498288059578342,8.492762575610955,0.8492762575610955,2.043896781510803e-11,2.1715745800230935e-11,0.5111520719977548,3.211663188510695,2.8969238365617844
UGC01281,25,1.4342953713436076e-10,0.20957149562283237,20.067798861940133,0.8725129939973971,1.3027248543045514e-11,1.4328676657809284e-11,0.21089699864449013,1.3251049232113334,1.1952461427863397
F568-1,12,1.2576136202282278e-10,1.7881101326811661,8.785291430876256,0.8785291430876256,1.7209454921628734e-11,1.7437052542982574e-11,0.1849179347989583,1.1618736509628074,1.0480113501901898
UGC06983,17,7.481540953651247e-11,1.0829752004080333,13.636321708915858,0.9090881139277239,4.398774452552215e-12,4.673556351195277e-12,0.1100076430479458,0.6911984064763096,0.623461746137604
NGC4214,14,4.268812447718908e-10,0.345795520625221,11.586387373681493,0.9655322811401245,3.8772265358414485e-11,3.458682964280519e-11,0.6276808466284044,3.9438350731336334,3.5573437064324236
UGC12506,31,2.8467300568432483e-11,1.6624238175702954,28.550052695763437,0.9844845757159806,2.1336116835378368e-12,2.3064814563990718e-12,0.04185796293666437,0.26300133771211726,0.23722750473693735
F579-V1,14,1.882204398068621e-12,2.5,12.619645621045034,1.0516371350870861,1.8226838688697902e-12,3.2110762943128154e-12,0.0027675698208262257,0.017389154034808983,0.01568503665057184
NGC3992,9,5.383617333177634e-11,0.8975218536426749,7.54475388386324,1.0778219834090343,2.2804136971847882e-12,2.3812809265139645e-12,0.07916003635666877,0.4973771773520231,0.4486347777648028
NGC2683,11,5.733581439588492e-11,0.6748401537329027,9.775022763446014,1.0861136403828904,4.297294124750051e-12,4.645470067446143e-12,0.08430586483453739,0.5297093712374334,0.47779845329904097
F563-1,17,1.1982203559244392e-10,1.614741175148631,16.370566183599657,1.0913710789066438,1.4590546527820902e-11,1.4271818630898042e-11,0.17618482345269906,1.107001894066028,0.998516963270366
NGC0247,26,2.3631586965422776e-11,1.4794867090138693,26.708089308146306,1.1128370545060962,1.000996008205405e-12,1.0452720507682069e-12,0.03474759009746511,0.21832554756029166,0.19692989137852313
