N,H,q,p,F,V,rho_m,rho_r,constraint_signed,constraint_abs,constraint_rel
-57.52,9.146126380812467e+47,-4.2175186754035635e-19,-6.677578007429032e-19,1.0,2.0997,7.872239651202377e+74,2.5095488332138126e+96,-4.7428439751604714e+80,4.7428439751604714e+80,-1.889918981606995e-16
-57.5,8.787501635837022e+47,-4.362543606731879e-19,-7.580464572857984e-19,1.0,2.0997,7.413796103378019e+74,2.3166055499951504e+96,0.0,0.0,0.0
-57.48,8.442938768245924e+47,-4.498672747444985e-19,-6.214786300217189e-19,1.0,2.0997,6.982050229386504e+74,2.1384964513304995e+96,4.7428439751604714e+80,4.7428439751604714e+80,2.2178404702096346e-16
-57.46,8.111886403940471e+47,-4.592147831416049e-19,-3.8115499963086265e-19,1.0,2.0997,6.575447277739963e+74,1.974081030913028e+96,2.3714219875802357e+80,2.3714219875802357e+80,1.2012789497721043e-16
-57.44,7.793814788509273e+47,-4.624067556849314e-19,-1.1648124518630607e-19,1.0,2.0997,6.192523038628579e+74,1.8223064687275753e+96,2.3714219875802357e+80,2.3714219875802357e+80,1.3013299509582928e-16
-57.42,7.488214939508966e+47,-4.626733325616526e-19,1.4799319446975376e-20,1.0,2.0997,5.831898571183747e+74,1.6822008894085583e+96,-4.7428439751604714e+80,4.7428439751604714e+80,-2.8194278133023686e-16
-57.4,7.194597831982822e+47,-4.62945936134813e-19,-3.9959384141767045e-20,1.0,2.0997,5.492275237801494e+74,1.552867138919158e+96,-2.3714219875802357e+80,2.3714219875802357e+80,-1.527124844196791e-16
-57.38,6.912493615917352e+47,-4.631332031231297e-19,2.311251336147635e-20,1.0,2.0997,5.172430027644578e+74,1.4334770397029442e+96,2.3714219875802357e+80,2.3714219875802357e+80,1.6543145944434932e-16
-57.36,6.6414508643812055e+47,-4.617452061423801e-19,7.365335403759982e-20,1.0,2.0997,4.871211152481709e+74,1.323266087519696e+96,0.0,0.0,0.0
-57.34,6.3810358511465814e+47,-4.6068439578197375e-19,9.17542011188734e-20,1.0,2.0997,4.587533899007447e+74,1.2215285560085392e+96,0.0,0.0,0.0
-57.32,6.130831856633953e+47,-4.575240036246977e-19,1.9080974770490235e-19,1.0,2.0997,4.3203767227006695e+74,1.1276129776295317e+96,0.0,0.0,0.0
-57.3,5.890438501072495e+47,-4.514680981212347e-19,2.9797976853083015e-19,1.0,2.0997,4.068777569162316e+74,1.0409179720475155e+96,0.0,0.0,0.0
-57.28,5.65947110380674e+47,-4.458675012554257e-19,2.8158104072484773e-19,1.0,2.0997,3.8318304096803016e+74,9.608883952447042e+95,2.3714219875802357e+80,2.3714219875802357e+80,2.4679473696592184e-16
-57.26,5.4375600677252225e+47,-4.383651717739159e-19,3.2272249794727055e-19,1.0,2.0997,3.6086819785465017e+74,8.870117847035977e+95,1.1857109937901178e+80,1.1857109937901178e+80,1.336747734627148e-16
-57.24,5.224350287826827e+47,-4.3039022191748626e-19,4.852115229770446e-19,1.0,2.0997,3.3985287003797226e+74,8.188150778974874e+95,2.3714219875802357e+80,2.3714219875802357e+80,2.8961630673307267e-16
-57.22,5.019500582976384e+47,-4.173074413652455e-19,6.805859297385095e-19,1.0,2.0997,3.2006137963857847e+74,7.558615830750076e+95,1.1857109937901178e+80,1.1857109937901178e+80,1.5686879983586281e-16
-57.2,4.822683149942678e+47,-4.0324678280724507e-19,7.50423423462359e-19,1.0,2.0997,3.014224559136649e+74,6.977481829422308e+95,1.1857109937901178e+80,1.1857109937901178e+80,1.6993394218387914e-16
-57.18,4.633583038842755e+47,-3.8994707688277364e-19,6.396238038772153e-19,1.0,2.0997,2.8386897860534267e+74,6.441027533355379e+95,0.0,0.0,0.0
