galaxy,n_points,D_Mpc,R_last,Mbar_proxy,Sigma_bar_proxy,gdag_fixed_si,gdag_fixed_kpc,chi2_fixed,chi2_red_fixed,sigma_lo_fixed_si,sigma_hi_fixed_si,gdag_free_si,gdag_free_kpc,ml_disk_best,chi2_free,chi2_red_free,chi2_red_base_cH0,chi2_red_base_cH0_2pi,ml_mond,chi2_red_mond,ml_lcdm,rho_s,r_s_kpc,chi2_red_lcdm,ratio_cH0,ratio_cH0_2pi,ratio_a0,flag_ml_edge,flag_bad_fit,flag_low_points,flag_bulge_sensitive,flag_low_quality
UGC12732,16,13.2,15.4,7672577508.015745,10297930.820175424,1.0277365206081337e-10,3171.263541320459,50.8213426792639,3.6300959056617073,4.3533265714271065e-12,4.545882856353594e-12,5.531912391522041e-11,1706.9698049293859,1.3745098978543824,2.298264928598197,0.16416178061415693,164.78717756332495,3.4601658322729136,0.5628615827142711,3.8946096732353968,1.6723071122503004,427409.25689568475,52.51127784548125,0.1336628998256453,0.15111709339934948,0.9494967009104779,0.8564471005067781,False,False,False,False,False
UGC01230,11,53.7,36.54,17464736191.643166,4163658.2064746334,7.822803810314148e-11,2413.865034189161,32.98217484643979,3.6646860940488657,1.1863837534774759e-11,1.2402010533895544e-11,1.5191399194932467e-11,468.7575992728912,2.5,7.146224576934267,0.7940249529926963,35.39638734816697,3.722217055537775,0.5503691803455069,4.037283985379295,2.440722421638712,601789.2081949932,31.55734425349928,0.9064243785567933,0.11502552943710913,0.722726716509797,0.6519003175261789,True,False,False,False,True
UGC06614,13,88.7,64.59,133146061418.28128,10158928.000593575,4.938162310251494e-11,1523.7576734508652,40.718227084543464,3.7016570076857693,4.485175720903482e-12,4.933246836116515e-12,6.082139702832984e-11,1876.7522128530304,0.31476947900161306,39.63414150228516,3.6031037729350146,138.03855250602197,9.582215111137236,0.10000546443110717,5.009606906947605,0.1,274598.389317379,148.58067700333453,0.7698811196256532,0.07261012137798273,0.45622284779466743,0.41151352585429113,False,False,False,True,False
UGC05986,15,8.63,9.41,4268250357.1337233,15343370.274270814,2.4916502698408007e-10,7688.429378564675,52.979888570648946,4.075376043896073,6.387273263756905e-12,6.555316913229443e-12,4.451619548809689e-10,13736.262643090773,0.26971118537083005,41.39418655557685,3.1841681965828346,90.38556201935705,38.77454304981175,0.893695152036457,6.11817754237132,0.972353790946301,153957.77407408544,316.22776601683796,5.514305291204088,0.3663691413079737,2.301965205670262,2.0763752248673337,False,False,False,False,False
UGC08837,8,7.21,4.2,839607969.0112092,15150539.515587397,1.5510082206391533e-11,478.59112951350517,26.012125286380417,4.3353542143967365,2.3522141154175327e-12,2.772716221572914e-12,4.596474379496794e-11,1418.32379467127,0.1,12.977075833860786,2.162845972310131,261.93787054212186,40.8195985900923,0.10000546443110717,11.330812906303679,0.1,36545.00124176154,316.22776601683796,5.291169483086871,0.022805831012290563,0.14329326233444462,0.1292506850532628,True,False,False,False,True
UGC12506,31,100.6,49.99,158050234912.37903,20131632.76235193,2.0827571935621478e-10,6426.717179864596,126.4315012291617,4.35970693893661,8.822224423045659e-12,9.212448940277926e-12,2.8467300544848833e-11,878.4091109681704,1.6624238198375931,28.55005269576342,0.98448457571598,32.81247066732147,9.244860080977286,0.86977175149332,2.614871896631849,0.29401068327476176,45019734.85002573,9.722026238781055,0.15106350819286862,0.30624601445656474,1.9242004584157948,1.7356309946351232,False,False,False,False,False
UGC12632,15,9.77,10.66,3330754724.697797,9329929.681584634,8.110107805755678e-11,2502.517783969844,57.189589286300325,4.3991991758692555,3.435311200875106e-12,3.587261841736254e-12,1.6916619509384527e-11,521.9923357472733,2.5,3.120208357990979,0.2400160275377676,177.44494108888676,5.967226839488803,0.36127375263827394,6.780948146124236,2.3622065732342685,726162.6159009066,22.766389888120802,0.25410830545350305,0.11925001147531222,0.7492699199826788,0.6758423171463065,True,False,False,False,True
NGC3198,43,13.8,44.08,42920675327.77948,7031265.583012799,9.317375495041812e-11,2875.0416683387552,189.07148312635888,4.611499588447778,8.030624268391375e-13,8.100441787755292e-13,6.854443980708416e-11,2115.0604124860406,0.647707618253393,81.36148378215147,1.9844264337110114,965.8212115794198,7.594117550413936,0.43383520674592235,9.448007447996174,0.4853636555109806,6569414.572512774,15.216084602140755,1.3148424701434789,0.13700152467948606,0.8608059669273482,0.7764479579201511,False,False,False,False,False
NGC2955,24,97.9,35.43,227986382152.28873,57811831.68406569,5.520923596049576e-11,1703.579016945688,102.50104220935141,4.659138282243246,4.137908004355574e-12,3.448801215769393e-12,1.6169063089664417e-10,4989.251548949704,0.22524503412697383,81.11891011659577,3.6872231871179895,179.3549653147303,9.069558527944974,0.3437002887138662,3.920798939835706,0.11586157563039698,12510566.039335102,18.82416568378126,3.1814226938179644,0.08117897048372082,0.51006251459528,0.4600769663374647,False,False,False,True,False
NGC2998,13,68.1,42.28,123978450659.51161,22076304.453322317,9.029750033613055e-11,2786.2897245190725,53.97040363061375,4.906400330055796,7.782720552158618e-13,7.850382819087598e-13,5.33649811084584e-11,1646.6712584308043,0.7232952585416147,29.08545639488458,2.644132399534962,1166.4771456909887,9.688302915556319,0.40755345374321394,7.3815599071674685,0.19725467115105152,55183615.18832904,7.7396319903010005,1.9284364678719332,0.13277231584558752,0.8342330641212029,0.7524791694677546,False,False,False,False,False
